names,prices,ratings,totalratings,restypes,areas,offers
K K S Bakers,4.2100+ ratings-- MINSDelivery Time₹ 150Cost for two,4.2100+ ratings-- MINSDelivery Time₹ 150Cost for two,100+ ratings,"Bakery, Fast Food","KPHB,Kukatpally, Kukatpally",
BELLYS,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 10 am, tomorrowIndian, Desserts","Kukatpally, Kukatpally",Offer20% off up to ₹50 | Use code SWIGGYIT
Area bistro,3.820+ ratings-- MINSDelivery Time₹ 200Cost for two,3.820+ ratings-- MINSDelivery Time₹ 200Cost for two,20+ ratings,"South Indian, Chinese, Indian","Kukatpally, Kukatpally",
Freshfit Eatery,4.050+ ratings-- MINSDelivery Time₹ 199Cost for two,4.050+ ratings-- MINSDelivery Time₹ 199Cost for two,50+ ratings,"Healthy Food, Beverages, Snacks, Salads, Continental, Juices, Mexican","Kukatpally, Kukatpally",Offer20% off up to ₹300 on orders above ₹800 | Use code PARTY30% off up to ₹75 | Use code SWIGGYIT
M/S Srilaxmi Hotel,2.920+ ratingsClosedFor Delivery₹ 350Cost for two,2.920+ ratingsClosedFor Delivery₹ 350Cost for two,20+ ratings,"Opens next at 11:30 am, tomorrowNorth Indian, South Indian, Biryani, Chinese","KPHB,KUKATAPALLY, Kukatpally",Offer40% off up to ₹80 | Use code SWIGGYIT
SUNITHA JOWARI ROTI,--Too Few RatingsClosedFor Delivery₹ 100Cost for two,--Too Few RatingsClosedFor Delivery₹ 100Cost for two,Too Few Ratings,"Opens next at 2 pm, tomorrowSVANidhi Street Food Vendor, Indian, Snacks","Kukatpally, Kukatpally",
G. Pulla Reddy Sweets,4.4100+ ratingsClosedFor Delivery₹ 300Cost for two,4.4100+ ratingsClosedFor Delivery₹ 300Cost for two,100+ ratings,Restaurant ClosedSweets,"A.s raju nager main road, Kukatpally",
Chickpet Donne Biryani House,3.7100+ ratings-- MINSDelivery Time₹ 400Cost for two,3.7100+ ratings-- MINSDelivery Time₹ 400Cost for two,100+ ratings,Biryani,"KPHB Phase 1, Kukatpally West Zone, Kukatpally",Offer10% off up to ₹100 on orders above ₹400 | Use code JUMBO
REDDY GARI BIRYANI,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,Too Few Ratings,"Biryani, Indian, Combo","Kukatpally, Kukatpally",
Egg Break Bowl,--Too Few Ratings-- MINSDelivery Time₹ 400Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 400Cost for two,Too Few Ratings,"Beverages, Snacks, Pastas","Kukatpally, Kukatpally",Offer20% off on orders above ₹399
Best Takeaway,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 11:30 am, tomorrowNorth Indian, South Indian","KPHB, Phase-3, Kukatpally",Offer40% off up to ₹80 | Use code SWIGGYIT
Food Plus,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 7 am, tomorrowIndian","Kukatpally, Kukatpally",
SHAWARMA & MOMOS,--Too Few RatingsClosedFor Delivery₹ 140Cost for two,--Too Few RatingsClosedFor Delivery₹ 140Cost for two,Too Few Ratings,Restaurant ClosedChinese,"Kukatpally, Kukatpally",
Vantillu Restaurant & Banquet Hall,3.220+ ratings-- MINSDelivery Time₹ 300Cost for two,3.220+ ratings-- MINSDelivery Time₹ 300Cost for two,20+ ratings,"Indian, Chinese, Biryani, Kebabs, Beverages","Kukatpally, Kukatpally",
AJANTHA RESTAURANT,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowIndian","Allwyn Colony Road, Kukatpally",
Sri Raghavendra Pure Veg,4.01000+ ratings-- MINSDelivery Time₹ 250Cost for two,4.01000+ ratings-- MINSDelivery Time₹ 250Cost for two,1000+ ratings,"South Indian, Andhra","K P H B Phase 3, Kukatpally",Offer15% off up to ₹45 | Use code SWIGGYIT
Sarovar Grand,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowIndian, Chinese, Biryani","Balaji Nagar, Kukatpally",
MISRIS YO BAKERS,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowChinese, Indian","Kukatpally, Kukatpally",
Brundavanam Family Restaurant,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 7 am, tomorrowIndian, Biryani","Kukatpally, Kukatpally",
MAGG E STOP,--Too Few Ratings-- MINSDelivery Time₹ 300Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 300Cost for two,Too Few Ratings,"Indian, Chinese","KPHB, Kukatpally",OfferFree delight on orders above ₹500
Krishnatunga Restaurant,3.71000+ ratings-- MINSDelivery Time₹ 400Cost for two,3.71000+ ratings-- MINSDelivery Time₹ 400Cost for two,1000+ ratings,"Rayalaseema, Biryani, Andhra","Usha Mullapudi road, Kukatpally",
RK Bakery and Tea,--Too Few RatingsClosedFor Delivery₹ 100Cost for two,--Too Few RatingsClosedFor Delivery₹ 100Cost for two,Too Few Ratings,"Opens next at 10 am, tomorrowItalian, Continental","Kukatpally, Kukatpally",
Nagaraju Pulao's,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowSouth Indian","Kukatpally, Kukatpally",
Spicy Xpress,3.750+ ratingsClosedFor Delivery₹ 300Cost for two,3.750+ ratingsClosedFor Delivery₹ 300Cost for two,50+ ratings,"Opens next at 12 noon, tomorrowChinese, Snacks","Kukatpally, Kukatpally",
Flames & Pots,4.120+ ratingsClosedFor Delivery₹ 300Cost for two,4.120+ ratingsClosedFor Delivery₹ 300Cost for two,20+ ratings,"Opens next at 12:30 pm, tomorrowBiryani, Kebabs","KPHB Phase 5, Kukatpally",Offer10% off up to ₹300 on orders above ₹800 | Use code PARTY20% off up to ₹50 | Use code SWIGGYIT
Maa Ooru Biryani,4.0100+ ratings-- MINSDelivery Time₹ 350Cost for two,4.0100+ ratings-- MINSDelivery Time₹ 350Cost for two,100+ ratings,Biryani,"KPHB Phase 2, Kukatpally",
Dwaraka Biryani House,--Too Few Ratings-- MINSDelivery Time₹ 300Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 300Cost for two,Too Few Ratings,"Chinese, Indian","Kukatpally, Kukatpally",
Country Dine (A Unit Of Country Oven),--Too Few RatingsClosedFor Delivery₹ 400Cost for two,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowNorth Indian, Chinese","JNTU Road, Kukatpally",
Moghuls Paradiez,4.0500+ ratings-- MINSDelivery Time₹ 350Cost for two,4.0500+ ratings-- MINSDelivery Time₹ 350Cost for two,500+ ratings,"Biryani, North Indian, Chinese, Haleem","KPHB 6th Phase, Kukatpally",Offer15% off up to ₹100 on orders above ₹500 | Use code JUMBO20% off up to ₹50 | Use code SWIGGYIT
Pange's Panipuri,3.450+ ratings-- MINSDelivery Time₹ 100Cost for two,3.450+ ratings-- MINSDelivery Time₹ 100Cost for two,50+ ratings,Chaat,"Kukatpally, Kukatpally",Offer20% off up to ₹300 on orders above ₹800 | Use code PARTY20% off up to ₹50 | Use code SWIGGYIT
SARIGAMA TIFFENS & MEALS,--Too Few RatingsClosedFor Delivery₹ 100Cost for two,--Too Few RatingsClosedFor Delivery₹ 100Cost for two,Too Few Ratings,"Opens next at 7 am, tomorrowIndian","Kukatpally, Kukatpally",
Zozoz Pizzeria,4.5100+ ratings-- MINSDelivery Time₹ 500Cost for two,4.5100+ ratings-- MINSDelivery Time₹ 500Cost for two,100+ ratings,"Italian, Pizzas","Jubilee Hills, Jubilee Hills",Offer10% off up to ₹300 on orders above ₹1500 | Use code PARTY
ZUCI Chocolates LLP,--Too Few Ratings-- MINSDelivery Time₹ 1000Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 1000Cost for two,Too Few Ratings,"Continental, Desserts, Cafe, Bakery","Jubilee Hills, Jubilee Hills",
Natural Scoops,--Too Few RatingsClosedFor Delivery₹ 150Cost for two,--Too Few RatingsClosedFor Delivery₹ 150Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowBeverages, Desserts","Ameerpet, Jubilee Hills",
Kodi Kura Chitti Gaare,4.1500+ ratings-- MINSDelivery Time₹ 750Cost for two,4.1500+ ratings-- MINSDelivery Time₹ 750Cost for two,500+ ratings,"Biryani, South Indian, Andhra, Hyderabadi","Road no 36, Jubilee Hills",
CMR  Food Court,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 1 pm, tomorrowChinese, North Indian","Venkatagiri, Jubilee Hills",
HELLO SOUTH,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 12 noon, tomorrowSouth Indian","Jubilee Hills, Jubilee Hills",Offer20% off up to ₹300 on orders above ₹800 | Use code PARTY20% off up to ₹50 | Use code SWIGGYIT
Millet Marvels,4.5100+ ratings-- MINSDelivery Time₹ 200Cost for two,4.5100+ ratings-- MINSDelivery Time₹ 200Cost for two,100+ ratings,South Indian,"Jubilee Hills, Jubilee Hills",Offer10% off up to ₹100 on orders above ₹400 | Use code JUMBO15% off up to ₹45 | Use code SWIGGYIT
House of Pops,4.720+ ratings-- MINSDelivery Time₹ 150Cost for two,4.720+ ratings-- MINSDelivery Time₹ 150Cost for two,20+ ratings,Ice Cream,"Road no 81, Jubilee Hills",Offer40% off up to ₹80 | Use code SWIGGYIT
FarmBowl By Urbankisaan,4.4500+ ratings-- MINSDelivery Time₹ 300Cost for two,4.4500+ ratings-- MINSDelivery Time₹ 300Cost for two,500+ ratings,"Healthy Food, Salads","Jubilee Hills, Jubilee Hills",Offer40% off up to ₹120| Use code HHTRUST15% off up to ₹45 | Use code SWIGGYIT
Chai Raja,--Too Few RatingsClosedFor Delivery₹ 250Cost for two,--Too Few RatingsClosedFor Delivery₹ 250Cost for two,Too Few Ratings,"Restaurant ClosedBeverages, Snacks","Journalist Colony, Jubilee Hills",
Enrich Food & Beverages,--Too Few Ratings-- MINSDelivery Time₹ 400Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 400Cost for two,Too Few Ratings,"Continental, Chinese","Jubilee Hills, Jubilee Hills",Offer₹100 off on orders above ₹199
Klimom Farm Cafe,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 10 am, tomorrowBeverages, Cafe, Desserts","Jubilee Hills, Jubilee Hills",
Roll Call,--Too Few RatingsClosedFor Delivery₹ 150Cost for two,--Too Few RatingsClosedFor Delivery₹ 150Cost for two,Too Few Ratings,"Opens next at 11:30 am, tomorrowBengali, Mughlai, Kebabs","Jubilee Hills, Jubilee Hills",
45th Avenue by Karachi Bakery,3.850+ ratings-- MINSDelivery Time₹ 700Cost for two,3.850+ ratings-- MINSDelivery Time₹ 700Cost for two,50+ ratings,"Desserts, Continental, Italian, Cafe, European","Jubilee Hills, Jubilee Hills",
Venkys Xprs,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowFast Food","Jubliee Hills (near Metro station), Jubilee Hills",
Mama's Kitchen,3.920+ ratings-- MINSDelivery Time₹ 400Cost for two,3.920+ ratings-- MINSDelivery Time₹ 400Cost for two,20+ ratings,"Beverages, Desserts, Indian","Jubilee Hills, Jubilee Hills",Offer20% off up to ₹300 on orders above ₹800 | Use code PARTY30% off up to ₹75 | Use code SWIGGYIT
Subway,4.2100+ ratings-- MINSDelivery Time₹ 350Cost for two,4.2100+ ratings-- MINSDelivery Time₹ 350Cost for two,100+ ratings,"Fast Food, Salads, Snacks, Desserts, Beverages","Road No 1, Jubilee Hills",
Golden Kebabs,--Too Few Ratings-- MINSDelivery Time₹ 300Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 300Cost for two,Too Few Ratings,Indian,"CBI Colony, Madhapur, Jubilee Hills",Offer20% off up to ₹300 on orders above ₹800 | Use code PARTY30% off up to ₹75 | Use code SWIGGYIT
Chutneys,4.11000+ ratings-- MINSDelivery Time₹ 500Cost for two,4.11000+ ratings-- MINSDelivery Time₹ 500Cost for two,1000+ ratings,"North Indian, Chinese, South Indian","Road 36, Jubilee Hills",
Cafe Melange,3.920+ ratings-- MINSDelivery Time₹ 500Cost for two,3.920+ ratings-- MINSDelivery Time₹ 500Cost for two,20+ ratings,"Italian, Chinese, Indian","Road No 82, Jubilee Hills",
Chai Pani,4.0100+ ratings-- MINSDelivery Time₹ 200Cost for two,4.0100+ ratings-- MINSDelivery Time₹ 200Cost for two,100+ ratings,"Cafe, Beverages, Snacks, Street Food","Road no 37, Jubilee Hills",Offer15% off up to ₹300 on orders above ₹600 | Use code PARTY20% off up to ₹50 | Use code SWIGGYIT
Telangana Spice Kitchen,4.31000+ ratings-- MINSDelivery Time₹ 1000Cost for two,4.31000+ ratings-- MINSDelivery Time₹ 1000Cost for two,1000+ ratings,"South Indian, North Indian, Chinese, Biryani","JubileeHills check post, Jubilee Hills",
Sfc Shawarma Point,--Too Few RatingsClosedFor Delivery₹ 280Cost for two,--Too Few RatingsClosedFor Delivery₹ 280Cost for two,Too Few Ratings,"Opens next at 1 pm, tomorrowIndian","madhapur, Jubilee Hills",
The Moonshine Project,4.4100+ ratings-- MINSDelivery Time₹ 1000Cost for two,4.4100+ ratings-- MINSDelivery Time₹ 1000Cost for two,100+ ratings,"North Indian, Chinese, American, Continental, Italian","Road 82, Jubilee Hills",Offer10% off up to ₹300 on orders above ₹800 | Use code PARTY
Menchie's Frozen Yogurt,--Too Few RatingsClosedFor Delivery₹ 350Cost for two,--Too Few RatingsClosedFor Delivery₹ 350Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowIce Cream, Desserts","Road no 36, Jubilee Hills",
The Fatty Shawarma,3.950+ ratings-- MINSDelivery Time₹ 250Cost for two,3.950+ ratings-- MINSDelivery Time₹ 250Cost for two,50+ ratings,Arabian,"Jubilee Hills, Jubilee Hills",Offer15% off up to ₹100 on orders above ₹400 | Use code JUMBO20% off up to ₹50 | Use code SWIGGYIT
Barbeque Nation,3.420+ ratings-- MINSDelivery Time₹ 600Cost for two,3.420+ ratings-- MINSDelivery Time₹ 600Cost for two,20+ ratings,"North Indian, Mughlai, Seafood, Biryani, Desserts, Kebabs","JUBLI HILL ALCAZAR, Jubilee Hills",Offer15% off up to ₹120 on orders above ₹500 | Use code JUMBO10% off up to ₹200 on orders above ₹1200 | Use code PARTY
GHAR KA KHANA GHAR TAK,4.2100+ ratingsClosedFor Delivery₹ 200Cost for two,4.2100+ ratingsClosedFor Delivery₹ 200Cost for two,100+ ratings,"Opens next at 11 am, tomorrowNorth Indian, Bengali","Yousufguda jubilee hills, Jubilee Hills",Offer20% off on orders above ₹499
Le Vantage Cafe Bar,3.920+ ratingsClosedFor Delivery₹ 1000Cost for two,3.920+ ratingsClosedFor Delivery₹ 1000Cost for two,20+ ratings,"Opens next at 11 am, tomorrowCafe, Continental","Jubilee Hills, Jubilee Hills",
Almond House,4.5100+ ratings-- MINSDelivery Time₹ 1000Cost for two,4.5100+ ratings-- MINSDelivery Time₹ 1000Cost for two,100+ ratings,"Sweets, Desserts","Jubilee Hills, Jubilee Hills",Offer10% off up to ₹300 on orders above ₹1000 | Use code PARTY
Sofrehh Persian Bistro,4.3100+ ratings-- MINSDelivery Time₹ 400Cost for two,4.3100+ ratings-- MINSDelivery Time₹ 400Cost for two,100+ ratings,"Fast Food, Middle Eastern, Cafe","road number 36, Jubilee Hills",
Van Lavino,4.2100+ ratings-- MINSDelivery Time₹ 800Cost for two,4.2100+ ratings-- MINSDelivery Time₹ 800Cost for two,100+ ratings,"Italian, Cafe, Desserts","Road No.36, Jubilee Hills",
SLAY Coffee,4.1100+ ratings-- MINSDelivery Time₹ 200Cost for two,4.1100+ ratings-- MINSDelivery Time₹ 200Cost for two,100+ ratings,"Beverages, Cafe, Desserts","Hanuman Nagar, Kondapur",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO30% off up to ₹75 | Use code SWIGGYIT
Olio - The Wood Fired Pizzeria,4.0100+ ratingsClosedFor Delivery₹ 300Cost for two,4.0100+ ratingsClosedFor Delivery₹ 300Cost for two,100+ ratings,"Opens next at 12 noon, tomorrowPizzas, Beverages","Kondapur, Kondapur",Offer40% off up to ₹80 | Use code SWIGGYIT
Masala Express,--Too Few Ratings-- MINSDelivery Time₹ 300Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 300Cost for two,Too Few Ratings,Indian,"Kondapur, Kondapur",
Eats Corner,4.11000+ ratings-- MINSDelivery Time₹ 300Cost for two,4.11000+ ratings-- MINSDelivery Time₹ 300Cost for two,1000+ ratings,"Chinese, Fast Food","Masjid Banda, Kondapur, Kondapur",Offer10% off up to ₹100 on orders above ₹400 | Use code JUMBO10% off up to ₹40 | Use code SWIGGYIT
FOOD PLUS,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowNorth Indian, South Indian","Kondapur, Kondapur",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO20% off up to ₹50 | Use code SWIGGYIT
Khana Wala,--Too Few RatingsClosedFor Delivery₹ 100Cost for two,--Too Few RatingsClosedFor Delivery₹ 100Cost for two,Too Few Ratings,Restaurant ClosedSouth Indian,"Kondapur, Kondapur",
Celeste Baking,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowBakery","Kondapur, Kondapur",
Thindi,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,Too Few Ratings,"Opens next at 11:30 am, tomorrowIndian","Kondapur, Kondapur",
G. Pulla Reddy Sweets,4.350+ ratingsClosedFor Delivery₹ 300Cost for two,4.350+ ratingsClosedFor Delivery₹ 300Cost for two,50+ ratings,Restaurant ClosedSweets,"Kothaguda X Road, Kondapur",
homely,4.11000+ ratings-- MINSDelivery Time₹ 200Cost for two,4.11000+ ratings-- MINSDelivery Time₹ 200Cost for two,1000+ ratings,"Home Food, North Indian, South Indian, Beverages, Chettinad, Combo, Desserts, Hyderabadi, Indian, Lucknowi, Maharashtrian, Mangalorean, Punjabi, Rajasthani, Snacks, Sweets, Thalis","Gachibowli Road, Kondapur",Offer30% off up to ₹150 on orders above ₹400 | Use code JUMBO30% off up to ₹65 | Use code SWIGGYIT
Pind Balluchi,4.1100+ ratings-- MINSDelivery Time₹ 400Cost for two,4.1100+ ratings-- MINSDelivery Time₹ 400Cost for two,100+ ratings,Indian,"Gachibowli, Kondapur",
The Bowl Company,4.21000+ ratings-- MINSDelivery Time₹ 300Cost for two,4.21000+ ratings-- MINSDelivery Time₹ 300Cost for two,1000+ ratings,"Continental, North Indian, Pan-Asian, Desserts, American, Asian, Beverages, Biryani, Chinese, Combo, European, Fast Food, Grill, Hyderabadi, Indian, Italian, Kebabs, Lucknowi, Mediterranean, Mexican, Mughlai, Oriental, Pas","Gachibowli Road, Kondapur",Offer30% off up to ₹150 on orders above ₹400 | Use code JUMBO30% off up to ₹65 | Use code SWIGGYIT
La Vista - The continental Delight,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 12 noon, tomorrowContinental, Italian, American, Fast Food, Pizzas, Pastas, Salads","Kondapur, Kondapur",
SRI SRINIVASA HOTEL,--Too Few Ratings-- MINSDelivery Time₹ 400Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 400Cost for two,Too Few Ratings,"South Indian, Thalis, Chinese, Snacks","Kondapur, Kondapur",
Kolkata Rolls,4.050+ ratings-- MINSDelivery Time₹ 350Cost for two,4.050+ ratings-- MINSDelivery Time₹ 350Cost for two,50+ ratings,Fast Food,"Gachibowli - Miyapur Rd, Kondapur",Offer25% off on orders above ₹199 up to ₹75
Indori Bhiya,3.4100+ ratings-- MINSDelivery Time₹ 150Cost for two,3.4100+ ratings-- MINSDelivery Time₹ 150Cost for two,100+ ratings,"Desserts, North Indian, Chaat, Salads, Continental","Beside Jani Masjid, Shilpa Park, Kondapur",Offer10% off up to ₹100 on orders above ₹400 | Use code JUMBO15% off up to ₹45 | Use code SWIGGYIT
KS Bakers,4.0100+ ratings-- MINSDelivery Time₹ 250Cost for two,4.0100+ ratings-- MINSDelivery Time₹ 250Cost for two,100+ ratings,Bakery,"Kondapur, Kondapur",Offer25% off up to ₹125 on orders above ₹400 | Use code JUMBO25% off up to ₹65 | Use code SWIGGYIT
Samosa Spot,4.620+ ratingsClosedFor Delivery₹ 100Cost for two,4.620+ ratingsClosedFor Delivery₹ 100Cost for two,20+ ratings,"Opens next at 4 pm, tomorrowStreet Food","Sri Ramnagar - Block B, Kondapur",
New Kritunga Restaurant,3.8100+ ratings-- MINSDelivery Time₹ 400Cost for two,3.8100+ ratings-- MINSDelivery Time₹ 400Cost for two,100+ ratings,"Rayalaseema, Biryani, Andhra","Hanuman Nagar, Kondapur",
Mummy Ki Rasoi,4.2100+ ratings-- MINSDelivery Time₹ 200Cost for two,4.2100+ ratings-- MINSDelivery Time₹ 200Cost for two,100+ ratings,North Indian,"Near RTO Office, Beside IDEA store lane, Kondapur, Kondapur",
Eat italy,3.620+ ratings-- MINSDelivery Time₹ 400Cost for two,3.620+ ratings-- MINSDelivery Time₹ 400Cost for two,20+ ratings,Italian,"Kothaguda, Kondapur",Offer40% off up to ₹200 on orders above ₹400 | Use code JUMBO40% off up to ₹80 | Use code SWIGGYIT
Taste of Shakes,--Too Few Ratings-- MINSDelivery Time₹ 400Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 400Cost for two,Too Few Ratings,Beverages,"Hafeezpet, Kondapur",Offer50% off on all orders
Cake L'amore,4.21000+ ratings-- MINSDelivery Time₹ 200Cost for two,4.21000+ ratings-- MINSDelivery Time₹ 200Cost for two,1000+ ratings,"Bakery, Beverages, Desserts","Kondapur, Kondapur",Offer30% off up to ₹75 | Use code SWIGGYIT
MOHAMMEDIA SHAWARMA,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 1 pm, tomorrowIndian, Chinese, Snacks","Kondapur, Kondapur",Offer30% off up to ₹75 | Use code SWIGGYIT
Immunity Booster Meals by Lunchbox,4.320+ ratings-- MINSDelivery Time₹ 200Cost for two,4.320+ ratings-- MINSDelivery Time₹ 200Cost for two,20+ ratings,"North Indian, Desserts, Biryani","Hanuman Nagar, Kondapur",Offer20% off up to ₹150 on orders above ₹600 | Use code JUMBO50% off up to ₹100 | Use code SWIGGYIT
Scoops,4.0100+ ratingsClosedFor Delivery₹ 200Cost for two,4.0100+ ratingsClosedFor Delivery₹ 200Cost for two,100+ ratings,Restaurant ClosedIce Cream,"Kondapur, Kondapur",Offer15% off up to ₹100 on orders above ₹400 | Use code JUMBO15% off up to ₹45 | Use code SWIGGYIT
Sri Krishna Food Court,--Too Few Ratings-- MINSDelivery Time₹ 500Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 500Cost for two,Too Few Ratings,"Indian, Biryani","Kondapur, Kondapur",
Desi Bytes,4.0100+ ratings-- MINSDelivery Time₹ 400Cost for two,4.0100+ ratings-- MINSDelivery Time₹ 400Cost for two,100+ ratings,"North Indian, Chinese, Bihari","Kothaguda Gachibowli Road, Kondapur",Offer30% off up to ₹75 | Use code SWIGGYIT
The arabian shawarma,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowArabian, Fast Food","white field road, Kondapur",
Thick Shake House,4.0100+ ratings-- MINSDelivery Time₹ 300Cost for two,4.0100+ ratings-- MINSDelivery Time₹ 300Cost for two,100+ ratings,"Beverages, Desserts","Gachibowli, Kondapur",Offer50% off up to ₹250 on orders above ₹400 | Use code JUMBO50% off up to ₹100 | Use code TRYNEW
Baskin Robbins,4.350+ ratings-- MINSDelivery Time₹ 250Cost for two,4.350+ ratings-- MINSDelivery Time₹ 250Cost for two,50+ ratings,Desserts,"Sri Ram Nagar, Kondapur, Kondapur",Offer15% off up to ₹100 on orders above ₹500 | Use code JUMBO20% off up to ₹50 | Use code SWIGGYIT
STEAM PICKS MOMOS,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 1:15 pm, tomorrowChinese","Kondapur, Kondapur",
